Model	Type	Instance	Competition	Id	Verdict	Answered	Modality	CEX	Trivial	Size
AirplaneLD	COL	200	ReachabilityFireability	12	TRUE	7.99	EF	VRAI	COMPLEX	22
AirplaneLD	COL	200	ReachabilityFireability	13	FALSE	7.99	EF	FAUX	COMPLEX	42
AirplaneLD	COL	200	ReachabilityFireability	14	FALSE	7.99	EF	FAUX	COMPLEX	1
AirplaneLD	COL	200	ReachabilityFireability	15	FALSE	7.99	EF	FAUX	COMPLEX	137
AirplaneLD	COL	500	ReachabilityCardinality	0	TRUE	6.99	EF	VRAI	COMPLEX	72
AirplaneLD	COL	500	ReachabilityCardinality	1	TRUE	6.99	EF	VRAI	COMPLEX	5
AirplaneLD	COL	500	ReachabilityCardinality	2	FALSE	6.99	EF	FAUX	COMPLEX	30
AirplaneLD	COL	500	ReachabilityCardinality	3	TRUE	6.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	500	ReachabilityCardinality	4	FALSE	6.99	EF	FAUX	COMPLEX	34
AirplaneLD	COL	500	ReachabilityCardinality	5	FALSE	7.99	EF	FAUX	COMPLEX	14
AirplaneLD	COL	500	ReachabilityCardinality	6	TRUE	6	AG	FAUX	COMPLEX	9
AirplaneLD	COL	500	ReachabilityCardinality	7	TRUE	6	AG	FAUX	CSTTRUE	35
AirplaneLD	COL	500	ReachabilityCardinality	8	TRUE	6	AG	FAUX	COMPLEX	15
AirplaneLD	COL	500	ReachabilityCardinality	9	TRUE	6	AG	FAUX	COMPLEX	63
AirplaneLD	COL	500	ReachabilityCardinality	10	FALSE	7	EF	FAUX	COMPLEX	5
AirplaneLD	COL	500	ReachabilityCardinality	11	FALSE	6	EF	FAUX	COMPLEX	27
AirplaneLD	COL	500	ReachabilityCardinality	12	TRUE	6	AG	FAUX	COMPLEX	1
AirplaneLD	COL	500	ReachabilityCardinality	13	TRUE	6	AG	FAUX	COMPLEX	60
AirplaneLD	COL	500	ReachabilityCardinality	14	TRUE	7	AG	FAUX	COMPLEX	31
AirplaneLD	COL	500	ReachabilityCardinality	15	FALSE	6	EF	FAUX	COMPLEX	56
AirplaneLD	COL	500	ReachabilityFireability	0	FALSE	6.99	EF	FAUX	COMPLEX	19
AirplaneLD	COL	500	ReachabilityFireability	1	FALSE	6.99	AG	VRAI	COMPLEX	28
AirplaneLD	COL	500	ReachabilityFireability	2	TRUE	5.99	EF	VRAI	COMPLEX	15
AirplaneLD	COL	500	ReachabilityFireability	3	FALSE	5.99	AG	VRAI	COMPLEX	74
AirplaneLD	COL	500	ReachabilityFireability	4	TRUE	5.99	EF	VRAI	COMPLEX	96
AirplaneLD	COL	500	ReachabilityFireability	5	TRUE	6.99	EF	VRAI	COMPLEX	40
AirplaneLD	COL	500	ReachabilityFireability	6	TRUE	5.99	EF	VRAI	COMPLEX	71
AirplaneLD	COL	500	ReachabilityFireability	7	TRUE	6.99	EF	VRAI	COMPLEX	58
AirplaneLD	COL	500	ReachabilityFireability	8	FALSE	6.99	EF	FAUX	COMPLEX	56
AirplaneLD	COL	500	ReachabilityFireability	9	TRUE	6.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	500	ReachabilityFireability	10	TRUE	6.99	AG	FAUX	CSTTRUE	4
AirplaneLD	COL	500	ReachabilityFireability	11	TRUE	5.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	500	ReachabilityFireability	12	FALSE	6.99	EF	FAUX	COMPLEX	25
AirplaneLD	COL	500	ReachabilityFireability	13	TRUE	5.99	EF	VRAI	COMPLEX	38
AirplaneLD	COL	500	ReachabilityFireability	14	TRUE	6.99	EF	VRAI	COMPLEX	22
AirplaneLD	COL	500	ReachabilityFireability	15	TRUE	7.99	AG	FAUX	CSTTRUE	31
AirplaneLD	COL	1000	ReachabilityCardinality	0	FALSE	6.99	EF	FAUX	COMPLEX	67
AirplaneLD	COL	1000	ReachabilityCardinality	1	FALSE	6	EF	FAUX	COMPLEX	67
AirplaneLD	COL	1000	ReachabilityCardinality	2	FALSE	6	EF	FAUX	COMPLEX	2
AirplaneLD	COL	1000	ReachabilityCardinality	3	TRUE	6	AG	FAUX	COMPLEX	76
AirplaneLD	COL	1000	ReachabilityCardinality	4	TRUE	6	EF	VRAI	COMPLEX	2
AirplaneLD	COL	1000	ReachabilityCardinality	5	TRUE	7	AG	FAUX	COMPLEX	35
AirplaneLD	COL	1000	ReachabilityCardinality	6	FALSE	6	EF	FAUX	COMPLEX	22
AirplaneLD	COL	1000	ReachabilityCardinality	7	TRUE	6	AG	FAUX	COMPLEX	1
AirplaneLD	COL	1000	ReachabilityCardinality	8	FALSE	6	EF	FAUX	COMPLEX	2
AirplaneLD	COL	1000	ReachabilityCardinality	9	TRUE	6	AG	FAUX	COMPLEX	55
AirplaneLD	COL	1000	ReachabilityCardinality	10	FALSE	6	EF	FAUX	COMPLEX	4
AirplaneLD	COL	1000	ReachabilityCardinality	11	TRUE	7	AG	FAUX	COMPLEX	1
AirplaneLD	COL	1000	ReachabilityCardinality	12	FALSE	6	EF	FAUX	COMPLEX	123
AirplaneLD	COL	1000	ReachabilityCardinality	13	FALSE	6	AG	VRAI	COMPLEX	31
AirplaneLD	COL	1000	ReachabilityCardinality	14	FALSE	6	EF	FAUX	COMPLEX	65
AirplaneLD	COL	1000	ReachabilityCardinality	15	TRUE	6	AG	FAUX	COMPLEX	3
AirplaneLD	COL	1000	ReachabilityFireability	0	FALSE	5.99	AG	VRAI	COMPLEX	103
AirplaneLD	COL	1000	ReachabilityFireability	1	TRUE	5.99	EF	VRAI	COMPLEX	2
AirplaneLD	COL	1000	ReachabilityFireability	2	TRUE	6.99	AG	FAUX	COMPLEX	2
AirplaneLD	COL	1000	ReachabilityFireability	3	TRUE	5.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	1000	ReachabilityFireability	4	FALSE	5.99	AG	VRAI	COMPLEX	24
AirplaneLD	COL	1000	ReachabilityFireability	5	TRUE	5.99	EF	VRAI	COMPLEX	47
AirplaneLD	COL	1000	ReachabilityFireability	6	TRUE	5.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	1000	ReachabilityFireability	7	FALSE	5.99	AG	VRAI	COMPLEX	61
AirplaneLD	COL	1000	ReachabilityFireability	8	FALSE	5.99	AG	VRAI	COMPLEX	21
AirplaneLD	COL	1000	ReachabilityFireability	9	TRUE	5.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	1000	ReachabilityFireability	10	TRUE	5.99	AG	FAUX	COMPLEX	2
AirplaneLD	COL	1000	ReachabilityFireability	11	FALSE	6.99	AG	VRAI	COMPLEX	5
AirplaneLD	COL	1000	ReachabilityFireability	12	FALSE	6.99	AG	VRAI	COMPLEX	39
AirplaneLD	COL	1000	ReachabilityFireability	13	FALSE	5.99	AG	VRAI	COMPLEX	67
AirplaneLD	COL	1000	ReachabilityFireability	14	FALSE	5.99	AG	VRAI	COMPLEX	1
AirplaneLD	COL	1000	ReachabilityFireability	15	TRUE	5.99	EF	VRAI	COMPLEX	70
AirplaneLD	COL	2000	ReachabilityCardinality	0	FALSE	5	AG	VRAI	COMPLEX	51
AirplaneLD	COL	2000	ReachabilityCardinality	1	TRUE	6	AG	FAUX	COMPLEX	1
AirplaneLD	COL	2000	ReachabilityCardinality	2	TRUE	6	AG	FAUX	COMPLEX	1
AirplaneLD	COL	2000	ReachabilityCardinality	3	FALSE	6	EF	FAUX	COMPLEX	106
AirplaneLD	COL	2000	ReachabilityCardinality	4	FALSE	6	EF	FAUX	COMPLEX	30
AirplaneLD	COL	2000	ReachabilityCardinality	5	TRUE	6	AG	FAUX	COMPLEX	3
AirplaneLD	COL	2000	ReachabilityCardinality	6	TRUE	6	AG	FAUX	COMPLEX	41
AirplaneLD	COL	2000	ReachabilityCardinality	7	TRUE	6	AG	FAUX	COMPLEX	26
AirplaneLD	COL	2000	ReachabilityCardinality	8	FALSE	6	EF	FAUX	COMPLEX	1
AirplaneLD	COL	2000	ReachabilityCardinality	9	FALSE	6	EF	FAUX	COMPLEX	53
AirplaneLD	COL	2000	ReachabilityCardinality	10	FALSE	6	EF	FAUX	COMPLEX	1
AirplaneLD	COL	2000	ReachabilityCardinality	11	FALSE	6	EF	FAUX	COMPLEX	49
AirplaneLD	COL	2000	ReachabilityCardinality	12	TRUE	6	AG	FAUX	COMPLEX	34
AirplaneLD	COL	2000	ReachabilityCardinality	13	FALSE	6	EF	FAUX	COMPLEX	8
AirplaneLD	COL	2000	ReachabilityCardinality	14	FALSE	5	AG	VRAI	COMPLEX	2
AirplaneLD	COL	2000	ReachabilityCardinality	15	TRUE	6	AG	FAUX	COMPLEX	3
AirplaneLD	COL	2000	ReachabilityFireability	0	FALSE	5	AG	VRAI	COMPLEX	62
AirplaneLD	COL	2000	ReachabilityFireability	1	FALSE	6	EF	FAUX	COMPLEX	52
AirplaneLD	COL	2000	ReachabilityFireability	2	TRUE	5	EF	VRAI	COMPLEX	21
AirplaneLD	COL	2000	ReachabilityFireability	3	TRUE	5	AG	FAUX	COMPLEX	105
AirplaneLD	COL	2000	ReachabilityFireability	4	TRUE	5	EF	VRAI	COMPLEX	1
AirplaneLD	COL	2000	ReachabilityFireability	5	TRUE	5	EF	VRAI	COMPLEX	1
AirplaneLD	COL	2000	ReachabilityFireability	6	FALSE	6	EF	FAUX	CSTFALSE	40
AirplaneLD	COL	2000	ReachabilityFireability	7	TRUE	5	EF	VRAI	COMPLEX	79
AirplaneLD	COL	2000	ReachabilityFireability	8	FALSE	5	AG	VRAI	COMPLEX	6
AirplaneLD	COL	2000	ReachabilityFireability	9	TRUE	5	EF	VRAI	COMPLEX	1
AirplaneLD	COL	2000	ReachabilityFireability	10	FALSE	5	EF	FAUX	COMPLEX	6
AirplaneLD	COL	2000	ReachabilityFireability	11	FALSE	5	EF	FAUX	COMPLEX	1
AirplaneLD	COL	2000	ReachabilityFireability	12	TRUE	5	EF	VRAI	COMPLEX	1
AirplaneLD	COL	2000	ReachabilityFireability	13	TRUE	5	EF	VRAI	COMPLEX	7
AirplaneLD	COL	2000	ReachabilityFireability	14	FALSE	5	EF	FAUX	COMPLEX	22
AirplaneLD	COL	2000	ReachabilityFireability	15	FALSE	5	AG	VRAI	COMPLEX	42
AirplaneLD	COL	4000	ReachabilityCardinality	0	FALSE	5	AG	VRAI	COMPLEX	1
AirplaneLD	COL	4000	ReachabilityCardinality	1	TRUE	6	AG	FAUX	COMPLEX	78
AirplaneLD	COL	4000	ReachabilityCardinality	2	FALSE	6	EF	FAUX	COMPLEX	98
AirplaneLD	COL	4000	ReachabilityCardinality	3	TRUE	6	AG	FAUX	COMPLEX	37
AirplaneLD	COL	4000	ReachabilityCardinality	4	TRUE	6	AG	FAUX	COMPLEX	3
AirplaneLD	COL	4000	ReachabilityCardinality	5	FALSE	6	EF	FAUX	COMPLEX	1
AirplaneLD	COL	4000	ReachabilityCardinality	6	TRUE	6	AG	FAUX	COMPLEX	6
AirplaneLD	COL	4000	ReachabilityCardinality	7	FALSE	5	AG	VRAI	COMPLEX	137
AirplaneLD	COL	4000	ReachabilityCardinality	8	TRUE	6	AG	FAUX	COMPLEX	1
AirplaneLD	COL	4000	ReachabilityCardinality	9	TRUE	6	AG	FAUX	COMPLEX	1
AirplaneLD	COL	4000	ReachabilityCardinality	10	TRUE	6	AG	FAUX	COMPLEX	1
AirplaneLD	COL	4000	ReachabilityCardinality	11	TRUE	6	AG	FAUX	COMPLEX	54
AirplaneLD	COL	4000	ReachabilityCardinality	12	TRUE	6	AG	FAUX	COMPLEX	86
AirplaneLD	COL	4000	ReachabilityCardinality	13	TRUE	6	AG	FAUX	COMPLEX	1
AirplaneLD	COL	4000	ReachabilityCardinality	14	TRUE	6	AG	FAUX	COMPLEX	1
